ticketCapacity,buyerCount,concurrency,httpRequestsCount,errorCount,durationSeconds,throughput,p50Millis,p99Millis,invariantsPassed
100,50000,10,66666,1,29.186596,2284.13070164126,3.628083,10.530625,true
100,50000,20,66666,1,27.589475667,2416.3561788794614,5.408834,10.226,true
100,50000,30,66666,2,27.13072075,2457.214484432744,7.843958,15.431334,true
100,50000,40,66666,1,27.1156645,2458.5788779028444,10.009666,19.529541,true
100,50000,50,66666,2,27.031928375,2466.194755889294,12.132834,25.430291,true
100,50000,60,66666,4,27.928279,2387.042896556569,15.422291,31.588583,true
100,50000,70,66666,1,27.013123167,2467.9115994051767,16.737958,35.776875,true
100,50000,80,66666,2,27.343557,2438.0880658650226,19.214083,38.9815,true
100,50000,90,66666,0,26.310606375,2533.8070529360807,20.836125,44.472416,true
100,50000,100,66666,2,22.085490833,3018.5428299554965,17.477459,44.02875,true
100,50000,110,66666,1,10.004973333,6663.286125922151,9.295625,18.607167,true
100,50000,120,66666,2,11.807398459,5646.120966569474,11.888667,21.550834,true
100,50000,130,66666,2,11.280199083,5910.002076157507,12.30875,21.973875,true
100,50000,140,66666,2,11.112308625,5999.293418652687,12.925,23.121958,true
100,50000,150,66666,2,11.117156375,5996.677365258343,13.665541,25.219167,true
100,50000,160,66666,2,11.143022208,5982.757528037407,14.523167,29.387167,true
100,50000,170,66666,5,10.7753205,6186.915739536472,15.0165,27.247166,true
100,50000,180,66666,0,10.691736791,6235.282564766983,15.82875,28.846875,true
100,50000,190,66666,4,10.68528225,6239.0490433699115,16.518625,29.558083,true
100,50000,200,66666,1,10.8229765,6159.6733578789535,17.672125,33.637458,true
100,50000,225,66666,1,11.06227225,6026.429154281572,20.151917,36.48325,true
100,50000,250,66666,3,11.036223542,6040.653285636392,22.524417,40.770792,true
100,50000,275,66666,5,10.781749459,6183.226595415919,24.03325,48.190708,true
100,50000,300,66666,2,11.271147042,5914.748494681203,27.443875,50.665083,true
